t,lat,lng
826.0,19.104704,72.841699
831.5,19.104889,72.841372
837.0,19.105074,72.841046
842.5,19.105259,72.840719
848.0,19.105444,72.840393
853.5,19.105629,72.840066
859.0,19.105814,72.839740
864.5,19.105999,72.839413
870.0,19.106184,72.839087
879.0,19.106369,72.838760
884.5,19.106554,72.838434
890.0,19.106739,72.838107
895.5,19.106924,72.837781
901.0,19.107109,72.837454
906.5,19.107294,72.837128
912.0,19.107479,72.836801
917.5,19.107664,72.836475
923.0,19.107849,72.836148
932.0,19.108034,72.835822
937.5,19.108219,72.835495
943.0,19.108404,72.835169
948.5,19.108589,72.834842
954.0,19.108774,72.834516
959.5,19.108959,72.834189
965.0,19.109144,72.833863
970.5,19.109329,72.833536
976.0,19.109514,72.833210
985.0,19.109699,72.832883
990.5,19.109884,72.832557
996.0,19.110069,72.832230
1001.5,19.110254,72.831904
1007.0,19.110439,72.831577
1012.5,19.110624,72.831251
1018.0,19.110809,72.830924
1023.5,19.110994,72.830598
1029.0,19.111179,72.830271
1038.0,19.111365,72.829945
1043.5,19.111550,72.829618
1049.0,19.111735,72.829292
1054.5,19.111920,72.828966
1060.0,19.112105,72.828639
1065.5,19.112290,72.828313
1071.0,19.112475,72.827986
1076.5,19.112660,72.827660
1082.0,19.112845,72.827333
1091.0,19.113030,72.827007
1096.5,19.113215,72.826680
1102.0,19.113400,72.826354
1107.5,19.113585,72.826027
1113.0,19.113739,72.826317
1118.5,19.113891,72.826662
1124.0,19.114043,72.827007
1129.5,19.114195,72.827352
1135.0,19.114347,72.827697
1144.0,19.114499,72.828042
1149.5,19.114650,72.828387
1155.0,19.114802,72.828732
1160.5,19.114954,72.829078
1166.0,19.115106,72.829423
1171.5,19.115258,72.829768
1177.0,19.115410,72.830113
1182.5,19.115562,72.830458
1188.0,19.115713,72.830803
1197.0,19.115865,72.831148
1202.5,19.116017,72.831494
1208.0,19.116169,72.831839
1213.5,19.116321,72.832184
1219.0,19.116473,72.832529
1224.5,19.116625,72.832874
1230.0,19.116776,72.833219
1235.5,19.116928,72.833564
1241.0,19.117080,72.833909
1250.0,19.117232,72.834255
1255.5,19.117384,72.834600
1261.0,19.117536,72.834945
1266.5,19.117688,72.835290
1272.0,19.117839,72.835635
1277.5,19.117991,72.835980
1283.0,19.117860,72.836327
1288.5,19.117711,72.836674
1294.0,19.117563,72.837020
1303.0,19.117414,72.837367
1308.5,19.117266,72.837714
1314.0,19.117117,72.838061
1319.5,19.116968,72.838407
1325.0,19.116820,72.838754
1330.5,19.116671,72.839101
1336.0,19.116523,72.839447
1341.5,19.116374,72.839794
1347.0,19.116225,72.840141
1356.0,19.116077,72.840488
1361.5,19.115928,72.840834
1367.0,19.115780,72.841181
1372.5,19.115631,72.841528
1378.0,19.115482,72.841874
1383.5,19.115334,72.842221
1389.0,19.115185,72.842568
1394.5,19.115037,72.842915
1400.0,19.114888,72.843261
1409.0,19.114739,72.843608
1414.5,19.114591,72.843955
1420.0,19.114442,72.844301
1425.5,19.114294,72.844648
1431.0,19.114145,72.844995
1436.5,19.113996,72.845342
1442.0,19.113848,72.845688
1447.5,19.113699,72.846035
1453.0,19.113551,72.846382
1462.0,19.113402,72.846729
1467.5,19.113253,72.847075
1473.0,19.113105,72.847422
1478.5,19.112956,72.847769
1484.0,19.112808,72.848115
1489.5,19.112659,72.848462
1495.0,19.112510,72.848809
1500.5,19.112362,72.849156
1506.0,19.112213,72.849502
1515.0,19.112065,72.849849
1520.5,19.112000,72.850000
